"","MandateId","SearchStatus","MandateDate","EntryDate","MandateSizeCurrency","MandateSizeAmount","AccountSizeAmount","MandateRegion","Fund","FundType","FundCountry","FundRegion","SearchConsultant","AssetManager","AssetManagerParentFirm","AssetManagerCountry","MainAssetClass","InvestmentApproach","SubAssetClass","CapSize","Style","Benchmark.Index","Month","Region","Year","Quarter","AC2","XR","OriginalAmount"
"3",2147033239,"Completed",2017-09-29,"9/29/2017","USD",40,40,"Europe","New York State Common Retirement Fund","Public D.B.","United States","North America","RVK Inc.","57 Stars","","United States","Private Equity","","Fund-of-Funds","","","","09","US","2017","Q3","Private Equity",1,40
"14",2147028976,"Completed",2017-02-09,"2/9/2017","USD",1985,375,"Global","State of Wisconsin Investment Board","Public D.B.","United States","North America","Cliffwater","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Hedge Funds","","","","","","02","US","2017","Q1","Hedge Funds",1,375
"15",2147028773,"Completed",2017-01-25,"1/25/2017","USD",200,100,"U.S.","Houston Firefighters’ Relief and Retirement Fund","Public D.B.","United States","North America","None","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Equity","Passive","Low-Volatility","","","","01","US","2017","Q1","Equity",1,100
"17",2147028454,"Completed",2017-01-03,"1/3/2017","USD",514,291,"U.S.","New Hampshire Retirement System","Public D.B.","United States","North America","NEPC","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Equity","Active","","Small- to Mid-Cap","","","01","US","2017","Q1","Equity",1,291
"18",2147029674,"Completed",2017-05-03,"5/3/2017","USD",0,0,"International","New Mexico State Investment Council","Permanent Fund","United States","North America","RVK Inc.","AB (AllianceBernstein)","AB (AllianceBernstein)","Australia","Equity","Mixed/Unspecified","","","","","05","US","2017","Q2","Equity",1,0
"20",2147033248,"Completed",2017-09-29,"9/29/2017","USD",210,30,"U.S.","Montana Board of Investments","Public D.B.","United States","North America","RVK Inc.","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Equity","Active","","Small-Cap","","","09","US","2017","Q3","Equity",1,30
"21",2147033041,"Completed",2017-09-20,"9/20/2017","USD",201,201,"Global","Los Angeles Fire & Police Pension System","Public D.B.","United States","North America","RVK Inc.","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Equity","Passive","","","","","09","US","2017","Q3","Equity",1,201
"22",2147028237,"Completed",2017-08-29,"8/29/2017","USD",400,200,"U.S.","Los Angeles Fire & Police Pension System","Public D.B.","United States","North America","RVK Inc.","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Equity","Mixed/Unspecified","","Small-Cap","Value","","08","US","2017","Q3","Equity",1,200
"23",2147032493,"Completed",2017-08-24,"8/24/2017","USD",20,20,"U.S.","Montana Board of Investments","Public D.B.","United States","North America","RVK Inc.","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Equity","Active","","Small-Cap","Growth","","08","US","2017","Q3","Equity",1,20
"24",2147031092,"Completed",2017-06-27,"6/27/2017","USD",50,50,"U.S.","Indiana Public Retirement System","Public D.B.","United States","North America","None","Abacus Capital Group","","United States","Real Estate","Mixed/Unspecified","Commercial","","","","06","US","2017","Q2","Real Estate",1,50
"25",2147032722,"Completed",2017-09-29,"9/29/2017","USD",20,20,"Global","Milwaukee City Employees Retirement System","Public D.B.","United States","North America","Callan Associates","Abbott Capital Management","","United States","Private Equity","","","","","","09","US","2017","Q3","Private Equity",1,20
"29",2147029717,"Completed",2017-03-27,"3/27/2017","USD",312,156,"Global","Rhode Island State Investment Commission","Public D.B.","United States","North America","Pension Consulting Alliance","Aberdeen Asset Management","Aberdeen Asset Management","United States","Hedge Funds","","","","","","03","US","2017","Q1","Hedge Funds",1,156
"30",2147029636,"Completed",2017-03-27,"3/27/2017","USD",312,156,"U.S.","Rhode Island State Investment Commission","Public D.B.","United States","North America","Pension Consulting Alliance","Aberdeen Asset Management","Aberdeen Asset Management","United States","Fixed Income","Active","Government Bonds","","","","03","US","2017","Q1","Fixed Income",1,156
"31",2147028108,"Completed",2017-06-13,"6/13/2017","USD",28,14,"U.S.","Taunton (Mass.) Contributory Retirement System","Public D.B.","United States","North America","Dahab Associates","Aberdeen Asset Management","Aberdeen Asset Management","Australia","Equity","Active","","Small-Cap","Core","","06","US","2017","Q2","Equity",1,14
"32",2147029071,"Completed",2017-05-22,"5/22/2017","USD",5,5,"Emerging Markets","Holyoke Retirement System","Public D.B.","United States","North America","Segal Marco Advisors (formerly Segal Rogerscasey)","Aberdeen Asset Management","Aberdeen Asset Management","United States","Equity","Active","","","","","05","US","2017","Q2","Equity",1,5
"33",2147028269,"Completed",2017-04-10,"4/10/2017","USD",400,200,"Emerging Markets","Los Angeles County Employees’ Retirement Association (LACERA)","Public D.B.","United States","North America","Meketa Investment Group","Aberdeen Asset Management","Aberdeen Asset Management","United States","Fixed Income","Mixed/Unspecified","Debt","","","","04","US","2017","Q2","Fixed Income",1,200
"34",2147033002,"Completed",2017-09-19,"9/19/2017","USD",0,0,"Global","Knoxville (Tenn.) City Employees Pension Fund","Public D.B.","United States","North America","Summit Strategies Group","Aberdeen Asset Management","Aberdeen Asset Management","United States","Private Equity","","","","","","09","US","2017","Q3","Private Equity",1,0
"35",2147032485,"Completed",2017-08-24,"8/24/2017","USD",2,1,"Emerging Markets","Holyoke Retirement System","Public D.B.","United States","North America","Segal Marco Advisors","Aberdeen Asset Management","Aberdeen Asset Management","United States","Equity","Mixed/Unspecified","Long-Only","","Growth","","08","US","2017","Q3","Equity",1,1
"36",2147030747,"Completed",2017-06-16,"6/16/2017","USD",250,250,"Global","Washington State Investment Board","Public D.B.","United States","North America","Hamilton Lane Advisors","Abraaj Group","","United Kingdom","Private Equity","","Buyout","","","","06","US","2017","Q2","Private Equity",1,250
"37",2147032701,"Completed",2017-09-11,"9/11/2017","USD",50,50,"Global","Teachers’ Retirement System of Louisiana","Public D.B.","United States","North America","Hamilton Lane Advisors","Abraaj Group","","United Kingdom","Private Equity","","Buyout","","","","09","US","2017","Q3","Private Equity",1,50
"43",2147029013,"Completed",2017-02-10,"2/10/2017","USD",50,50,"U.S.","San Francisco City & County Employees’ Retirement System","Public D.B.","United States","North America","Portfolio Advisors","ABRY Partners","","United States","Private Equity","","Mezzanine Finance","","","","02","US","2017","Q1","Private Equity",1,50
"44",2147028781,"Completed",2017-01-25,"1/25/2017","USD",83,83,"North America","New York State Teachers’ Retirement System","Public D.B.","United States","North America","TorreyCove Capital Partners","ABRY Partners","","United States","Private Equity","","Middle-Market","","","","01","US","2017","Q1","Private Equity",1,83
"45",2147028681,"Completed",2017-01-19,"1/19/2017","USD",10,10,"U.S.","San Mateo County Employees Retirement Association","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Strategic Investment Solutions)","ABRY Partners","","United States","Private Equity","","","","","","01","US","2017","Q1","Private Equity",1,10
"46",2147030730,"Completed",2017-06-12,"6/12/2017","USD",10,10,"U.S.","Los Angeles City Employees Retirement System (LACERS)","Public D.B.","United States","North America","Portfolio Advisors","ABRY Partners","","United States","Private Equity","","Special Situations/Distressed","","","","06","US","2017","Q2","Private Equity",1,10
"47",2147030226,"Completed",2017-05-02,"5/2/2017","USD",160,60,"Global","Florida State Board of Administration","Public D.B.","United States","North America","Cambridge Associates","ABRY Partners","","United States","Private Equity","","Mezzanine Finance","","","","05","US","2017","Q2","Private Equity",1,60
"51",2147025830,"Completed",2017-02-27,"2/27/2017","USD",300,300,"International","Massachusetts Pension Reserves Investment Management Board","Public D.B.","United States","North America","Callan Associates","Acadian Asset Management","","United Kingdom","Equity","Active","","Small-Cap","","","02","US","2017","Q1","Equity",1,300
"52",2147030848,"Completed",2017-06-20,"6/21/2017","USD",18,3,"International","Jacksonville (Fla.) Police & Fire Pension Fund","Public D.B.","United States","North America","Summit Strategies Group","Acadian Asset Management","","United Kingdom","Equity","Mixed/Unspecified","","","","","06","US","2017","Q2","Equity",1,3
"53",2147032607,"Completed",2017-09-01,"9/1/2017","USD",0,0,"Global","Iowa Board of Regents","Endowment","United States","North America","None","Acadian Asset Management","","United Kingdom","Equity","Mixed/Unspecified","Low-Volatility","","","","09","US","2017","Q3","Equity",1,0
"54",2147031224,"Completed",2017-07-03,"7/3/2017","USD",3.5,3.5,"International","Watertown (Mass.) Contributory Retirement System","Public D.B.","United States","North America","Fiduciary Investment Advisors","Acadian Asset Management","","United Kingdom","Equity","Active","","Small-Cap","","","07","US","2017","Q3","Equity",1,3.5
"56",2147028467,"Completed",2017-01-04,"1/4/2017","USD",39,39,"U.S.","Texas County & District Retirement System","Public D.B.","United States","North America","Cliffwater","Accel-KKR","KKR","United States","Private Equity","","Technology/Credit-Focused","","","","01","US","2017","Q1","Private Equity",1,39
"59",2147030347,"Completed",2017-05-19,"5/19/2017","USD",50,50,"U.S.","Ohio Police & Fire Pension Fund","Public D.B.","United States","North America","The Townsend Group","ACM Capital Partners","","United States","Real Assets","","Farmland","","","","05","US","2017","Q2","Other Alternatives",1,50
"64",2147029105,"Completed",2017-02-24,"2/24/2017","USD",75,75,"Emerging Markets","Texas Municipal Retirement System","Public D.B.","United States","North America","Albourne Partners","Actis","","United Kingdom","Private Equity","","","","","","02","US","2017","Q1","Private Equity",1,75
"65",2147028758,"Completed",2017-01-30,"1/30/2017","USD",90,90,"Global","Arizona Public Safety Personnel Retirement System","Public D.B.","United States","North America","NEPC","Actis","","United Kingdom","Real Assets","","Infrastructure","","","","01","US","2017","Q1","Other Alternatives",1,90
"66",2147028645,"Completed",2017-01-24,"1/24/2017","USD",50,50,"Global","New Hampshire Retirement System","Public D.B.","United States","North America","NEPC","Actis","","United States","Private Equity","","","","","","01","US","2017","Q1","Private Equity",1,50
"67",2147028572,"Completed",2017-01-12,"1/12/2017","USD",50,50,"Emerging Markets","Employees Retirement System of Texas","Public D.B.","United States","North America","Altius Associates","Actis","","United Kingdom","Real Assets","","Infrastructure","","","","01","US","2017","Q1","Other Alternatives",1,50
"68",2147028534,"Completed",2017-01-10,"1/10/2017","USD",200,200,"Emerging Markets","Texas Teachers' Retirement System","Public D.B.","United States","North America","The Townsend Group","Actis","","United Kingdom","Real Assets","","Infrastructure","","","","01","US","2017","Q1","Other Alternatives",1,200
"69",2147030405,"Completed",2017-05-17,"5/17/2017","USD",75,75,"Global","Alaska Permanent Fund Corporation","Public D.B.","United States","North America","Callan Associates","Actis","","United Kingdom","Real Assets","","Infrastructure","","","","05","US","2017","Q2","Other Alternatives",1,75
"70",2147025428,"Completed",2017-03-23,"3/23/2017","USD",100,100,"U.S.","Maryland State Retirement & Pension System","Public D.B.","United States","North America","Meketa Investment Group","Acuitas Investments","","United States","Equity","Active","","Micro-Cap","","","03","US","2017","Q1","Equity",1,100
"71",2147031192,"Completed",2017-06-30,"8/4/2017","USD",3,3,"U.S.","University of New Hampshire System","Endowment","United States","North America","Prime, Buchholz & Associates","Adage Capital Management","","United States","Equity","Active","","","","","06","US","2017","Q2","Equity",1,3
"72",2147028811,"Completed",2017-01-27,"1/27/2017","USD",15,15,"China","San Antonio Fire & Police Pension Fund","Public D.B.","United States","North America","NEPC","Adamas Asset Management","","Hong Kong","Private Equity","","","","","","01","US","2017","Q1","Private Equity",1,15
"76",2147029201,"Completed",2017-02-24,"2/24/2017","USD",100,100,"Global","Minnesota State Board of Investments","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Adams Street Partners","","United States","Private Equity","","Secondary Markets","","","","02","US","2017","Q1","Private Equity",1,100
"77",2147028722,"Completed",2017-01-23,"1/23/2017","USD",10,10,"U.S.","Chicago Public School Teachers' Pension & Retirement Fund","Public D.B.","United States","North America","Callan Associates","Adams Street Partners","","United States","Private Equity","","Venture Capital","","","","01","US","2017","Q1","Private Equity",1,10
"78",2147028721,"Completed",2017-01-23,"1/23/2017","USD",15,15,"U.S.","Chicago Public School Teachers' Pension & Retirement Fund","Public D.B.","United States","North America","Callan Associates","Adams Street Partners","","United States","Private Equity","","Buyout","","","","01","US","2017","Q1","Private Equity",1,15
"79",2147030353,"Completed",2017-06-26,"6/26/2017","USD",6,6,"Global","Grand Rapids Police & Fire Retirement System","Public D.B.","United States","North America","Wilshire Associates","Adams Street Partners","","United States","Private Equity","","","","","","06","US","2017","Q2","Private Equity",1,6
"80",2147031060,"Completed",2017-06-26,"6/26/2017","USD",6,6,"Global","Grand Rapids General Retirement System","Public D.B.","United States","North America","Wilshire Associates","Adams Street Partners","","United States","Private Equity","","","","","","06","US","2017","Q2","Private Equity",1,6
"81",2147030687,"Completed",2017-06-08,"6/8/2017","USD",7.5,7.5,"Global","Chicago Firemen’s Annuity & Benefit Fund","Public D.B.","United States","North America","Callan Associates","Adams Street Partners","","United States","Private Equity","","Fund-of-Funds/Secondary Markets","","","","06","US","2017","Q2","Private Equity",1,7.5
"82",2147032591,"Completed",2017-08-31,"8/31/2017","USD",60,60,"Global","North Dakota State Investment Board","Public D.B.","United States","North America","Callan Associates","Adams Street Partners","","United States","Private Equity","","Fund-of-Funds","","","","08","US","2017","Q3","Private Equity",1,60
"83",2147016201,"Completed",2017-06-23,"6/23/2017","USD",21,4,"U.S.","Oklahoma Municipal Retirement Fund","Public D.B.","United States","North America","Asset Consulting Group","Addison Clark Management","","United States","Hedge Funds","","Long/Short","","","","06","US","2017","Q2","Hedge Funds",1,4
"84",2147030236,"Completed",2017-05-02,"5/2/2017","USD",13330.4,332.899994,"U.S.","New York State Teachers’ Retirement System","Public D.B.","United States","North America","Callan Associates","Adelante Capital Management","","United States","Real Estate","Mixed/Unspecified","REIT","","","","05","US","2017","Q2","Real Estate",1,332.899994
"85",2147031889,"Completed",2017-08-01,"8/1/2017","USD",100,100,"Global","New York State Teachers’ Retirement System","Public D.B.","United States","North America","TorreyCove Capital Partners","ADV Partners","","China","Private Equity","","Special Situations/Distressed","","","","08","US","2017","Q3","Private Equity",1,100
"87",2147003773,"Completed",2017-07-13,"7/13/2017","USD",300,75,"International","Oklahoma Teachers Retirement System","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","Advisory Research","","United States","Equity","Active","","Small-Cap","","","07","US","2017","Q3","Equity",1,75
"97",2147028947,"Completed",2017-02-07,"2/7/2017","USD",100,100,"U.S.","Texas Teachers' Retirement System","Public D.B.","United States","North America","Hamilton Lane Advisors","AEW Capital Management","","United States","Real Assets","","","","","","02","US","2017","Q1","Other Alternatives",1,100
"98",2147028885,"Completed",2017-02-02,"2/2/2017","USD",50,50,"U.S.","Florida State Board of Administration","Public D.B.","United States","North America","The Townsend Group","AEW Capital Management","","United States","Real Estate","Mixed/Unspecified","Value-Added","","","","02","US","2017","Q1","Real Estate",1,50
"99",2147028836,"Completed",2017-01-31,"1/31/2017","USD",15,15,"Global","Austin (Texas) Police Retirement Fund","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","AEW Capital Management","","United States","Real Estate","Mixed/Unspecified","","","","","01","US","2017","Q1","Real Estate",1,15
"100",2147028827,"Completed",2017-01-30,"1/30/2017","USD",840,210,"Global","New York State Teachers’ Retirement System","Public D.B.","United States","North America","Callan Associates","AEW Capital Management","","United States","Real Estate","Mixed/Unspecified","REIT","","","","01","US","2017","Q1","Real Estate",1,210
"101",2147030793,"Completed",2017-06-14,"6/14/2017","USD",5,5,"Global","Michigan Retirement Systems","Public D.B.","United States","North America","None","AEW Capital Management","","United Kingdom","Real Estate","Mixed/Unspecified","","","","","06","US","2017","Q2","Real Estate",1,5
"102",2147030065,"Completed",2017-04-20,"4/20/2017","USD",5,5,"North America","Oakland County (Mich.) Employees Retirement System","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","AEW Capital Management","","United Kingdom","Real Estate","Mixed/Unspecified","Value-Added","","","","04","US","2017","Q2","Real Estate",1,5
"103",2147031623,"Completed",2017-07-27,"7/27/2017","USD",50,50,"Global","Kansas Public Employees Retirement System","Public D.B.","United States","North America","The Townsend Group","AEW Capital Management","","United States","Real Estate","Mixed/Unspecified","Opportunistic/Value-Added","","","","07","US","2017","Q3","Real Estate",1,50
"104",2147032364,"Completed",2017-08-18,"8/18/2017","USD",40,40,"Global","Contra Costa County Employees Retirement Association","Public D.B.","United States","North America","None","AFL-CIO Housing Investment Trust","","United States","Balanced","Mixed/Unspecified","","","","","08","US","2017","Q3","Other",1,40
"106",2147033092,"Completed",2017-09-22,"9/22/2017","USD",150,150,"Global","Virginia Retirement System","Public D.B.","United States","North America","None","AgIS Capital","","United States","Real Assets","","Farmland","","","","09","US","2017","Q3","Other Alternatives",1,150
"107",2147028575,"Completed",2017-01-12,"1/12/2017","USD",50,50,"U.S.","New Mexico State Investment Council","Permanent Fund","United States","North America","The Townsend Group","Agriculture Capital Management","","United States","Real Assets","","Farmland","","","","01","US","2017","Q1","Other Alternatives",1,50
"109",2147032867,"Completed",2017-09-13,"9/13/2017","USD",50,50,"North America","Pennsylvania Public School Employees Retirement System","Public D.B.","United States","North America","Portfolio Advisors","Aisling Capital","","United States","Private Equity","","Venture Capital","","","","09","US","2017","Q3","Private Equity",1,50
"111",2147029139,"Completed",2017-03-13,"3/13/2017","USD",400,400,"U.S.","Delaware Public Employees Retirement System","Public D.B.","United States","North America","Ashford Consulting Group","AJO","","United States","Equity","Mixed/Unspecified","Low-Volatility","Mid-Cap","","","03","US","2017","Q1","Equity",1,400
"112",2147028215,"Completed",2017-06-07,"6/7/2017","USD",0,0,"U.S.","Louisiana State Employees Retirement System","Public D.B.","United States","North America","NEPC","AJO","","United States","Equity","Mixed/Unspecified","","Large-Cap","Value","","06","US","2017","Q2","Equity",1,0
"113",2147030049,"Completed",2017-05-25,"5/25/2017","USD",0,0,"U.S.","Oklahoma Public Employees Retirement System","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Strategic Investment Solutions)","AJO","","United States","Equity","Mixed/Unspecified","","Large-Cap","Value","","05","US","2017","Q2","Equity",1,0
"114",2147032582,"Completed",2017-08-31,"8/31/2017","USD",0,0,"U.S.","Arlington County (Va.) Employees’ Supplemental Retirement System","Public D.B.","United States","North America","Ashford Consulting Group","AJO","","United States","Equity","Mixed/Unspecified","Low-Volatility","","","","08","US","2017","Q3","Equity",1,0
"115",2147016201,"Completed",2017-06-23,"6/23/2017","USD",21,4,"U.S.","Oklahoma Municipal Retirement Fund","Public D.B.","United States","North America","Asset Consulting Group","AKO Capital","","United Kingdom","Hedge Funds","","Long/Short","","","","06","US","2017","Q2","Hedge Funds",1,4
"118",2147032040,"Completed",2017-08-14,"8/14/2017","USD",168,168,"Europe","Los Angeles County Employees’ Retirement Association (LACERA)","Public D.B.","United States","North America","StepStone Group","Alchemy Partners","","United Kingdom","Private Equity","","Special Situations/Distressed","","","","08","US","2017","Q3","Private Equity",1,168
"119",2147028869,"Completed",2017-02-02,"2/2/2017","USD",25,25,"U.S.","Detroit Police & Fire Retirement System","Public D.B.","United States","North America","Courtland Partners","Alex. Brown Realty","","United States","Real Estate","Mixed/Unspecified","Value-Added","","","","02","US","2017","Q1","Real Estate",1,25
"120",2147029150,"Completed",2017-02-24,"2/24/2017","USD",1146,573,"International","South Carolina Retirement System Investment Commission","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Algert Global","","United States","Equity","Active","","Small-Cap","","","02","US","2017","Q1","Equity",1,573
"121",2147032481,"Completed",2017-08-24,"8/24/2017","USD",8,3,"International","Holyoke Retirement System","Public D.B.","United States","North America","Segal Marco Advisors","Algert Global","","United States","Equity","Mixed/Unspecified","","Small-Cap","","","08","US","2017","Q3","Equity",1,3
"122",2147030447,"Completed",2017-08-18,"8/18/2017","USD",45,45,"International","Alabama Trust Fund","Trust Fund","United States","North America","Callan Associates","Algert Global","","United States","Equity","Active","","Small-Cap","","","08","US","2017","Q3","Equity",1,45
"123",2147028797,"Completed",2017-01-31,"1/31/2017","USD",10,10,"U.S.","Macomb County Retirement System","Public D.B.","United States","North America","Graystone Consulting - Morgan Stanley","Alidade Capital, LLC","","United States","Real Estate","Mixed/Unspecified","Value-Added","","","","01","US","2017","Q1","Real Estate",1,10
"124",2147032292,"Completed",2017-08-16,"8/16/2017","USD",2.5,2.5,"U.S.","Pontiac Police & Fire Retirement Fund","Public D.B.","United States","North America","AndCo Consulting","Alidade Capital, LLC","","United States","Real Estate","Mixed/Unspecified","Core/Value-Added","","","","08","US","2017","Q3","Real Estate",1,2.5
"134",2147029519,"Completed",2017-03-15,"3/15/2017","USD",0,0,"Global","Hawaii Employees Retirement System","Public D.B.","United States","North America","Pension Consulting Alliance","AlphaSimplex Group","","United States","Alternative","","","","","","03","US","2017","Q1","Other Alternatives",1,0
"136",2147025504,"Completed",2017-04-28,"4/28/2017","USD",0,0,"Global","University of Texas Investment Management Co.","Endowment","United States","North America","Cambridge Associates","Alta Partners","","United States","Private Equity","","Venture Capital","","","","04","US","2017","Q2","Private Equity",1,0
"138",2147028548,"Completed",2017-01-11,"1/11/2017","USD",20,6.67,"Global","Westmoreland County (Penn.) Employees’ Retirement Fund","Public D.B.","United States","North America","Arthur J. Gallagher & Co.","Altair Management Partners","","United States","Multi Asset","","","","","","01","US","2017","Q1","Multi Asset",1,6.67
"141",2147031001,"Completed",2017-06-23,"6/23/2017","USD",75,75,"U.S.","Teachers' Retirement System of the State of Illinois","Public D.B.","United States","North America","None","Altaris Capital Partners","","United States","Private Equity","","Buyout/Middle-Market","","","","06","US","2017","Q2","Private Equity",1,75
"142",2147030324,"Completed",2017-06-16,"6/16/2017","USD",50,50,"Global","Connecticut Retirement Plans & Trust Funds","Public D.B.","United States","North America","StepStone Group, LP","Altaris Capital Partners","","United States","Private Equity","","Buyout","","","","06","US","2017","Q2","Private Equity",1,50
"143",2147030719,"Completed",2017-06-09,"6/9/2017","USD",8.5,8.5,"U.S.","El Paso (Texas) Firemen & Policemen’s Pension Fund","Public D.B.","United States","North America","Meketa Investment Group","Altaris Capital Partners","","United States","Private Equity","","Buyout","","","","06","US","2017","Q2","Private Equity",1,8.5
"144",2147028315,"Completed",2017-06-08,"6/8/2017","USD",30,30,"Global","Arkansas Teachers Retirement System","Public D.B.","United States","North America","Franklin Park Associates","Altaris Capital Partners","","United States","Private Equity","","Buyout/Middle-Market","","","","06","US","2017","Q2","Private Equity",1,30
"145",2147030455,"Completed",2017-05-19,"5/19/2017","USD",62.5,62.5,"North America","Texas Municipal Retirement System","Public D.B.","United States","North America","StepStone Group","Altaris Capital Partners","","United States","Private Equity","","Buyout","","","","05","US","2017","Q2","Private Equity",1,62.5
"146",2147030349,"Completed",2017-05-19,"5/19/2017","USD",30,30,"U.S.","Ohio Police & Fire Pension Fund","Public D.B.","United States","North America","TorreyCove Capital Partners","Altaris Capital Partners","","United States","Private Equity","","Middle-Market","","","","05","US","2017","Q2","Private Equity",1,30
"147",2147030909,"Completed",2017-09-01,"9/1/2017","USD",725,0,"North America","Arizona State Retirement System","Public D.B.","United States","North America","NEPC","Altaris Capital Partners","","United States","Private Equity","","Middle-Market","","","","09","US","2017","Q3","Private Equity",1,0
"148",2147032577,"Completed",2017-08-31,"8/31/2017","USD",15,15,"Global","Arlington County (Va.) Employees’ Supplemental Retirement System","Public D.B.","United States","North America","Ashford Consulting Group","Altaris Capital Partners","","United States","Private Equity","","Buyout","","","","08","US","2017","Q3","Private Equity",1,15
"149",2147031969,"Completed",2017-08-02,"8/2/2017","USD",40,40,"North America","State of Wisconsin Investment Board","Public D.B.","United States","North America","StepStone Group","Altaris Capital Partners","","United States","Private Equity","","Biotech/Middle-Market","","","","08","US","2017","Q3","Private Equity",1,40
"150",2147029635,"Completed",2017-07-12,"7/13/2017","USD",40,40,"U.S.","Rhode Island State Investment Commission","Public D.B.","United States","North America","Cliffwater","Altaris Capital Partners","","United States","Private Equity","","Buyout","","","","07","US","2017","Q3","Private Equity",1,40
"153",2147032610,"Completed",2017-08-31,"8/31/2017","USD",4,4,"Global","San Antonio Fire & Police Pension Fund","Public D.B.","United States","North America","NEPC","Alyeska Investment Group","","United States","Hedge Funds","","Long/Short","","","","08","US","2017","Q3","Hedge Funds",1,4
"154",2147025284,"Completed",2017-07-25,"7/25/2017","USD",20,20,"U.S.","Chicago Transit Authority Retiree Health Care Trust","Public D.B.","United States","North America","Marquette Associates","Amalgamated Bank of Chicago","","United States","Equity","Active","","Small-Cap","","","07","US","2017","Q3","Equity",1,20
"160",2147029794,"Completed",2017-03-31,"3/31/2017","USD",0,0,"International","Dartmouth University Defined Contribution Plan","Public D.C.","United States","North America","None","American Funds","","United States","Equity","Active","","Large-Cap","Growth","","03","US","2017","Q1","Equity",1,0
"161",2147028707,"Completed",2017-01-20,"1/20/2017","USD",0,0,"Europe","University of Miami (Defined Contribution)","Public D.C.","United States","North America","None","American Funds","","United States","Equity","Mixed/Unspecified","","Large-Cap","Growth","","01","US","2017","Q1","Equity",1,0
"162",2147031045,"Completed",2017-08-11,"8/11/2017","USD",0,0,"Global","Arapahoe County Employees Retirement Plan","Public D.B.","United States","North America","Ellwood Associates","American Funds","","United States","Equity","Mixed/Unspecified","","Large-Cap","Growth","MSCI ACWI","08","US","2017","Q3","Equity",1,0
"163",2147028871,"Completed",2017-02-02,"2/2/2017","USD",10,10,"U.S.","Detroit Police & Fire Retirement System","Public D.B.","United States","North America","Courtland Partners","American Realty Advisors","","United States","Real Estate","Mixed/Unspecified","Core","","","","02","US","2017","Q1","Real Estate",1,10
"164",2147026973,"Completed",2017-01-04,"1/4/2017","USD",35,35,"U.S.","Imperial County Employees Retirement System","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Wurts & Associates)","American Realty Advisors","","United States","Real Estate","Mixed/Unspecified","","","","","01","US","2017","Q1","Real Estate",1,35
"165",-2030163756,"Completed",2017-06-22,"6/22/2017","USD",4,4,"U.S.","Holyoke Retirement System","Public D.B.","United States","North America","Segal Marco Advisors (formerly Segal Rogerscasey)","American Realty Advisors","","United States","Real Estate","Mixed/Unspecified","Core","","","","06","US","2017","Q2","Real Estate",1,4
"166",2147032291,"Completed",2017-08-16,"8/16/2017","USD",2.5,2.5,"U.S.","Pontiac Police & Fire Retirement Fund","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","American Realty Advisors","","United States","Real Estate","Mixed/Unspecified","Core/Value-Added","","","","08","US","2017","Q3","Real Estate",1,2.5
"167",2147032073,"Completed",2017-08-07,"8/7/2017","USD",0,0,"Global","Fort Lauderdale General Employees Retirement System","Public D.B.","United States","North America","Dahab Associates","American Realty Investors","","United States","Real Estate","Mixed/Unspecified","","","","","08","US","2017","Q3","Real Estate",1,0
"190",2147028777,"Completed",2017-01-25,"1/25/2017","USD",50,50,"North America","New York State Teachers’ Retirement System","Public D.B.","United States","North America","TorreyCove Capital Partners","Amulet Capital Partners","","United States","Private Equity","","Buyout/Middle-Market","","","","01","US","2017","Q1","Private Equity",1,50
"198",2147030199,"Completed",2017-04-28,"4/28/2017","USD",325,325,"Emerging Markets","International Finance Corporation","Corporate D.B.","United States","North America","None","Amundi Asset Management","","United States","Fixed Income","Active","","","","","04","US","2017","Q2","Fixed Income",1,325
"199",2147031548,"Completed",2017-07-14,"7/14/2017","USD",0,0,"Global","Miami-Dade County Deferred Compensation Plan","Public D.C.","United States","North America","None","Amundi Asset Management","Amundi Asset Management","United Kingdom","Fixed Income","Mixed/Unspecified","Core","","","","07","US","2017","Q3","Fixed Income",1,0
"203",2147030676,"Completed",2017-06-07,"6/7/2017","USD",70,15,"Global","West Virginia Investment Management Board","Manager of Managers","United States","North America","Albourne Partners","Anchorage Capital Group","","United States","Hedge Funds","","Multi-Strategy","","","","06","US","2017","Q2","Hedge Funds",1,15
