"","MandateId","SearchStatus","MandateDate","EntryDate","MandateSizeCurrency","MandateSizeAmount","AccountSizeAmount","MandateRegion","Fund","FundType","FundCountry","FundRegion","SearchConsultant","AssetManager","AssetManagerParentFirm","AssetManagerCountry","MainAssetClass","InvestmentApproach","SubAssetClass","CapSize","Style","Benchmark.Index","Month","Region","Year","Quarter","AC2","XR","OriginalAmount"
"1690",2147022260,"Completed",2017-06-16,"6/16/2017","USD",47,27,"U.S.","Memphis Light, Gas & Water Division Pension System","Public D.B.","United States","North America","Gavion","Kennedy Capital Management","","United States","Equity","Active","","Small-Cap","Growth","","06","US","2017","Q2","Equity",1,27
"1691",2147028757,"Completed",2017-04-21,"4/21/2017","USD",31,31,"U.S.","Omaha Police & Firefighters Retirement Funds","Public D.B.","United States","North America","DeMarche Associates","Kennedy Capital Management","","United States","Equity","Active","","Small-Cap","Growth","","04","US","2017","Q2","Equity",1,31
"1692",2147031505,"Completed",2017-07-13,"7/13/2017","USD",12,12,"Global","University of Kentucky","Endowment","United States","North America","None","Kepos Capital","","United States","Hedge Funds","","","","","","07","US","2017","Q3","Hedge Funds",1,12
"1694",2147031399,"Completed",2017-07-10,"7/10/2017","USD",25,25,"Global","San Francisco City & County Employees’ Retirement System","Public D.B.","United States","North America","Blackstone Group","Key Square Capital Management LLC","","United States","Hedge Funds","","Global Macro","","","","07","US","2017","Q3","Hedge Funds",1,25
"1695",2147025503,"Completed",2017-04-28,"4/28/2017","USD",0,0,"Global","University of Texas Investment Management Co.","Endowment","United States","North America","Cambridge Associates","Key Square Group","","United States","Fixed Income","Active","","","","","04","US","2017","Q2","Fixed Income",1,0
"1696",2147032668,"Completed",2017-09-04,"9/6/2017","USD",30,30,"Global","Colorado Fire & Police Pension Association","Public D.B.","United States","North America","Pension Consulting Alliance","KeyQuant","","France","Hedge Funds","","Absolute Return","","","","09","US","2017","Q3","Hedge Funds",1,30
"1698",2147032218,"Completed",2017-08-24,"8/24/2017","USD",7.5,7.5,"U.S.","New Mexico State Investment Council","Permanent Fund","United States","North America","None","Kickstart Seed Fund","","United States","Private Equity","","Venture Capital","","","","08","US","2017","Q3","Private Equity",1,7.5
"1702",2147032036,"Completed",2017-08-04,"8/4/2017","USD",10,10,"U.S.","Montgomery County (Md.) Employees Retirement System","Public D.B.","United States","North America","Wilshire Associates","Kimmeridge Energy","","United States","Real Assets","","","","","","08","US","2017","Q3","Other Alternatives",1,10
"1703",2147033259,"Completed",2017-09-29,"9/29/2017","USD",24,24,"Global","New Mexico State Investment Council","Permanent Fund","United States","North America","RVK Inc.","King Street Capital Management","","United States","Hedge Funds","","Fund of Hedge Funds","","","","09","US","2017","Q3","Hedge Funds",1,24
"1707",2147028980,"Completed",2017-02-24,"2/24/2017","USD",150,150,"Asia","Minnesota State Board of Investments","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","KKR","KKR","Hong Kong","Private Equity","","Buyout","","","","02","US","2017","Q1","Private Equity",1,150
"1708",2147028679,"Completed",2017-02-23,"2/23/2017","USD",30,30,"Asia","Ohio Police & Fire Pension Fund","Public D.B.","United States","North America","TorreyCove Capital Partners","KKR","KKR","Japan","Private Equity","","Buyout","","","","02","US","2017","Q1","Private Equity",1,30
"1709",2147028828,"Completed",2017-01-30,"1/30/2017","USD",200,200,"Asia","New York State Teachers’ Retirement System","Public D.B.","United States","North America","TorreyCove Capital Partners","KKR","KKR","United States","Private Equity","","Buyout","","","","01","US","2017","Q1","Private Equity",1,200
"1710",2147030705,"Completed",2017-06-09,"6/9/2017","USD",25,25,"Global","Maine Public Employees Retirement System","Public D.B.","United States","North America","Cliffwater","KKR","KKR","United States","Private Equity","","","","","","06","US","2017","Q2","Private Equity",1,25
"1711",2147030607,"Completed",2017-06-02,"6/2/2017","USD",200,200,"U.S.","Minnesota State Board of Investments","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","KKR","KKR","United States","Private Equity","","Credit-Focused","","","","06","US","2017","Q2","Private Equity",1,200
"1712",2147030212,"Completed",2017-05-01,"5/1/2017","USD",100,100,"Asia","Virginia Retirement System","Public D.B.","United States","North America","None","KKR","KKR","United States","Private Equity","","Buyout","","","","05","US","2017","Q2","Private Equity",1,100
"1713",2147030203,"Completed",2017-04-28,"4/28/2017","USD",250,250,"Asia","Oregon Public Employees' Retirement System","Public D.B.","United States","North America","TorreyCove Capital Partners","KKR","KKR","United States","Private Equity","","Buyout","","","","04","US","2017","Q2","Private Equity",1,250
"1714",2147030137,"Completed",2017-04-26,"4/26/2017","USD",275,275,"Asia","New York State Common Retirement Fund","Public D.B.","United States","North America","RVK Inc.","KKR","KKR","United States","Private Equity","","Buyout","","","","04","US","2017","Q2","Private Equity",1,275
"1715",2147029709,"Completed",2017-04-05,"4/5/2017","USD",60,60,"Asia","Arizona Public Safety Personnel Retirement System","Public D.B.","United States","North America","NEPC","KKR","KKR","United States","Private Equity","","Buyout","","","","04","US","2017","Q2","Private Equity",1,60
"1716",2147031912,"Completed",2017-08-01,"8/1/2017","USD",150,150,"Asia","Florida State Board of Administration","Public D.B.","United States","North America","Cambridge Associates","KKR","KKR","United States","Private Equity","","Buyout","","","","08","US","2017","Q3","Private Equity",1,150
